

DT = 0

	 h 	 Beta 
87.000000 	 0.00000000000000104924 
88.000000 	 0.00000000000000070931 
89.000000 	 0.00000000000000047677 
90.000000 	 0.00000000000000031939 


DT = 8

	 h 	 Beta 
60.000000 	 0.00000000000481743443 
61.000000 	 0.00000000000370819889 
62.000000 	 0.00000000000284610202 
63.000000 	 0.00000000000217760882 
64.000000 	 0.00000000000166046469 
65.000000 	 0.00000000000126237240 
66.000000 	 0.00000000000095707966 
67.000000 	 0.00000000000072317889 
68.000000 	 0.00000000000054479991 
69.000000 	 0.00000000000040915119 
70.000000 	 0.00000000000030616186 
71.000000 	 0.00000000000022834467 
72.000000 	 0.00000000000016978197 
73.000000 	 0.00000000000012591752 
74.000000 	 0.00000000000009302137 
75.000000 	 0.00000000000006847432 
76.000000 	 0.00000000000005022105 
77.000000 	 0.00000000000003660046 
78.000000 	 0.00000000000002650844 
79.000000 	 0.00000000000001907357 
80.000000 	 0.00000000000001362940 
81.000000 	 0.00000000000000966991 
82.000000 	 0.00000000000000681143 
83.000000 	 0.00000000000000476088 
84.000000 	 0.00000000000000330320 
85.000000 	 0.00000000000000227656 
86.000000 	 0.00000000000000155743 
87.000000 	 0.00000000000000105922 
88.000000 	 0.00000000000000071607 
89.000000 	 0.00000000000000048131 
90.000000 	 0.00000000000000032242 


DT = 9

	 h 	 Beta 
60.000000 	 0.00000000000485202842 
61.000000 	 0.00000000000373501904 
62.000000 	 0.00000000000286683510 
63.000000 	 0.00000000000219358987 
64.000000 	 0.00000000000167274485 
65.000000 	 0.00000000000127178315 
66.000000 	 0.00000000000096427332 
67.000000 	 0.00000000000072866106 
68.000000 	 0.00000000000054896791 
69.000000 	 0.00000000000041230977 
70.000000 	 0.00000000000030854825 
71.000000 	 0.00000000000023014287 
72.000000 	 0.00000000000017113334 
73.000000 	 0.00000000000012693054 
74.000000 	 0.00000000000009377925 
75.000000 	 0.00000000000006904016 
76.000000 	 0.00000000000005064225 
77.000000 	 0.00000000000003691233 
78.000000 	 0.00000000000002673783 
79.000000 	 0.00000000000001924112 
80.000000 	 0.00000000000001375086 
81.000000 	 0.00000000000000975726 
82.000000 	 0.00000000000000687369 
83.000000 	 0.00000000000000480487 
84.000000 	 0.00000000000000333401 
85.000000 	 0.00000000000000229794 
86.000000 	 0.00000000000000157214 
87.000000 	 0.00000000000000106927 
88.000000 	 0.00000000000000072287 
89.000000 	 0.00000000000000048589 
90.000000 	 0.00000000000000032548 


DT = 10

	 h 	 Beta 
60.000000 	 0.00000000000488664766 
61.000000 	 0.00000000000376186320 
62.000000 	 0.00000000000288759011 
63.000000 	 0.00000000000220959049 
64.000000 	 0.00000000000168504215 
65.000000 	 0.00000000000128120868 
66.000000 	 0.00000000000097147955 
67.000000 	 0.00000000000073415381 
68.000000 	 0.00000000000055314476 
69.000000 	 0.00000000000041547565 
70.000000 	 0.00000000000031094064 
71.000000 	 0.00000000000023194598 
72.000000 	 0.00000000000017248870 
73.000000 	 0.00000000000012794678 
74.000000 	 0.00000000000009453973 
75.000000 	 0.00000000000006960810 
76.000000 	 0.00000000000005106516 
77.000000 	 0.00000000000003722556 
78.000000 	 0.00000000000002696830 
79.000000 	 0.00000000000001940951 
80.000000 	 0.00000000000001387299 
81.000000 	 0.00000000000000984511 
82.000000 	 0.00000000000000693633 
83.000000 	 0.00000000000000484915 
84.000000 	 0.00000000000000336502 
85.000000 	 0.00000000000000231948 
86.000000 	 0.00000000000000158697 
87.000000 	 0.00000000000000107939 
88.000000 	 0.00000000000000072973 
89.000000 	 0.00000000000000049050 
90.000000 	 0.00000000000000032856 


DT = 11

	 h 	 Beta 
60.000000 	 0.00000000000492128881 
61.000000 	 0.00000000000378872871 
62.000000 	 0.00000000000290836494 
63.000000 	 0.00000000000222560902 
64.000000 	 0.00000000000169735528 
65.000000 	 0.00000000000129064795 
66.000000 	 0.00000000000097869754 
67.000000 	 0.00000000000073965651 
68.000000 	 0.00000000000055732997 
69.000000 	 0.00000000000041864845 
70.000000 	 0.00000000000031333873 
71.000000 	 0.00000000000023375376 
72.000000 	 0.00000000000017384786 
73.000000 	 0.00000000000012896609 
74.000000 	 0.00000000000009530270 
75.000000 	 0.00000000000007017808 
76.000000 	 0.00000000000005148970 
77.000000 	 0.00000000000003754011 
78.000000 	 0.00000000000002719982 
79.000000 	 0.00000000000001957872 
80.000000 	 0.00000000000001399575 
81.000000 	 0.00000000000000993345 
82.000000 	 0.00000000000000699934 
83.000000 	 0.00000000000000489369 
84.000000 	 0.00000000000000339623 
85.000000 	 0.00000000000000234115 
86.000000 	 0.00000000000000160189 
87.000000 	 0.00000000000000108958 
88.000000 	 0.00000000000000073664 
89.000000 	 0.00000000000000049514 
90.000000 	 0.00000000000000033167 


DT = 12

	 h 	 Beta 
60.000000 	 0.00000000000495594856 
61.000000 	 0.00000000000381561294 
62.000000 	 0.00000000000292915752 
63.000000 	 0.00000000000224164380 
64.000000 	 0.00000000000170968292 
65.000000 	 0.00000000000130009994 
66.000000 	 0.00000000000098592650 
67.000000 	 0.00000000000074516853 
68.000000 	 0.00000000000056152305 
69.000000 	 0.00000000000042182780 
70.000000 	 0.00000000000031574224 
71.000000 	 0.00000000000023556598 
72.000000 	 0.00000000000017521064 
73.000000 	 0.00000000000012998833 
74.000000 	 0.00000000000009606807 
75.000000 	 0.00000000000007075000 
76.000000 	 0.00000000000005191582 
77.000000 	 0.00000000000003785594 
78.000000 	 0.00000000000002743235 
79.000000 	 0.00000000000001974872 
80.000000 	 0.00000000000001411913 
81.000000 	 0.00000000000001002226 
82.000000 	 0.00000000000000706270 
83.000000 	 0.00000000000000493850 
84.000000 	 0.00000000000000342763 
85.000000 	 0.00000000000000236297 
86.000000 	 0.00000000000000161691 
87.000000 	 0.00000000000000109985 
88.000000 	 0.00000000000000074359 
89.000000 	 0.00000000000000049982 
90.000000 	 0.00000000000000033479 


DT = 13

	 h 	 Beta 
60.000000 	 0.00000000000499062365 
61.000000 	 0.00000000000384251328 
62.000000 	 0.00000000000294996578 
63.000000 	 0.00000000000225769321 
64.000000 	 0.00000000000172202380 
65.000000 	 0.00000000000130956363 
66.000000 	 0.00000000000099316562 
67.000000 	 0.00000000000075068926 
68.000000 	 0.00000000000056572350 
69.000000 	 0.00000000000042501331 
70.000000 	 0.00000000000031815085 
71.000000 	 0.00000000000023738243 
72.000000 	 0.00000000000017657688 
73.000000 	 0.00000000000013101338 
74.000000 	 0.00000000000009683572 
75.000000 	 0.00000000000007132378 
76.000000 	 0.00000000000005234346 
77.000000 	 0.00000000000003817298 
78.000000 	 0.00000000000002766585 
79.000000 	 0.00000000000001991950 
80.000000 	 0.00000000000001424310 
81.000000 	 0.00000000000001011152 
82.000000 	 0.00000000000000712640 
83.000000 	 0.00000000000000498356 
84.000000 	 0.00000000000000345922 
85.000000 	 0.00000000000000238492 
86.000000 	 0.00000000000000163203 
87.000000 	 0.00000000000000111018 
88.000000 	 0.00000000000000075059 
89.000000 	 0.00000000000000050452 
90.000000 	 0.00000000000000033794 


DT = 14

	 h 	 Beta 
60.000000 	 0.00000000000502531085 
61.000000 	 0.00000000000386942718 
62.000000 	 0.00000000000297078768 
63.000000 	 0.00000000000227375564 
64.000000 	 0.00000000000173437665 
65.000000 	 0.00000000000131903803 
66.000000 	 0.00000000000100041414 
67.000000 	 0.00000000000075621807 
68.000000 	 0.00000000000056993086 
69.000000 	 0.00000000000042820462 
70.000000 	 0.00000000000032056430 
71.000000 	 0.00000000000023920287 
72.000000 	 0.00000000000017794640 
73.000000 	 0.00000000000013204110 
74.000000 	 0.00000000000009760555 
75.000000 	 0.00000000000007189935 
76.000000 	 0.00000000000005277255 
77.000000 	 0.00000000000003849120 
78.000000 	 0.00000000000002790030 
79.000000 	 0.00000000000002009101 
80.000000 	 0.00000000000001436765 
81.000000 	 0.00000000000001020123 
82.000000 	 0.00000000000000719044 
83.000000 	 0.00000000000000502887 
84.000000 	 0.00000000000000349100 
85.000000 	 0.00000000000000240700 
86.000000 	 0.00000000000000164724 
87.000000 	 0.00000000000000112057 
88.000000 	 0.00000000000000075763 
89.000000 	 0.00000000000000050926 
90.000000 	 0.00000000000000034110 


DT = 15

	 h 	 Beta 
60.000000 	 0.00000000000506000700 
61.000000 	 0.00000000000389635210 
62.000000 	 0.00000000000299162123 
63.000000 	 0.00000000000228982950 
64.000000 	 0.00000000000174674021 
65.000000 	 0.00000000000132852215 
66.000000 	 0.00000000000100767126 
67.000000 	 0.00000000000076175436 
68.000000 	 0.00000000000057414466 
69.000000 	 0.00000000000043140134 
70.000000 	 0.00000000000032298228 
71.000000 	 0.00000000000024102709 
72.000000 	 0.00000000000017931902 
73.000000 	 0.00000000000013307136 
74.000000 	 0.00000000000009837747 
75.000000 	 0.00000000000007247663 
76.000000 	 0.00000000000005320303 
77.000000 	 0.00000000000003881055 
78.000000 	 0.00000000000002813564 
79.000000 	 0.00000000000002026323 
80.000000 	 0.00000000000001449275 
81.000000 	 0.00000000000001029137 
82.000000 	 0.00000000000000725480 
83.000000 	 0.00000000000000507442 
84.000000 	 0.00000000000000352294 
85.000000 	 0.00000000000000242921 
86.000000 	 0.00000000000000166254 
87.000000 	 0.00000000000000113103 
88.000000 	 0.00000000000000076472 
89.000000 	 0.00000000000000051403 
90.000000 	 0.00000000000000034429 


DT = 16

	 h 	 Beta 
60.000000 	 0.00000000000509470894 
61.000000 	 0.00000000000392328555 
62.000000 	 0.00000000000301246442 
63.000000 	 0.00000000000230591321 
64.000000 	 0.00000000000175911324 
65.000000 	 0.00000000000133801502 
66.000000 	 0.00000000000101493624 
67.000000 	 0.00000000000076729754 
68.000000 	 0.00000000000057836441 
69.000000 	 0.00000000000043460314 
70.000000 	 0.00000000000032540452 
71.000000 	 0.00000000000024285487 
72.000000 	 0.00000000000018069459 
73.000000 	 0.00000000000013410403 
74.000000 	 0.00000000000009915137 
75.000000 	 0.00000000000007305554 
76.000000 	 0.00000000000005363484 
77.000000 	 0.00000000000003913098 
78.000000 	 0.00000000000002837185 
79.000000 	 0.00000000000002043614 
80.000000 	 0.00000000000001461839 
81.000000 	 0.00000000000001038191 
82.000000 	 0.00000000000000731947 
83.000000 	 0.00000000000000512021 
84.000000 	 0.00000000000000355506 
85.000000 	 0.00000000000000245154 
86.000000 	 0.00000000000000167793 
87.000000 	 0.00000000000000114155 
88.000000 	 0.00000000000000077185 
89.000000 	 0.00000000000000051882 
90.000000 	 0.00000000000000034749 


DT = 17

	 h 	 Beta 
60.000000 	 0.00000000000512941358 
61.000000 	 0.00000000000395022504 
62.000000 	 0.00000000000303331531 
63.000000 	 0.00000000000232200523 
64.000000 	 0.00000000000177149452 
65.000000 	 0.00000000000134751568 
66.000000 	 0.00000000000102220831 
67.000000 	 0.00000000000077284701 
68.000000 	 0.00000000000058258967 
69.000000 	 0.00000000000043780963 
70.000000 	 0.00000000000032783075 
71.000000 	 0.00000000000024468599 
72.000000 	 0.00000000000018207293 
73.000000 	 0.00000000000013513898 
74.000000 	 0.00000000000009992714 
75.000000 	 0.00000000000007363600 
76.000000 	 0.00000000000005406792 
77.000000 	 0.00000000000003945244 
78.000000 	 0.00000000000002860889 
79.000000 	 0.00000000000002060971 
80.000000 	 0.00000000000001474454 
81.000000 	 0.00000000000001047285 
82.000000 	 0.00000000000000738444 
83.000000 	 0.00000000000000516621 
84.000000 	 0.00000000000000358734 
85.000000 	 0.00000000000000247399 
86.000000 	 0.00000000000000169340 
87.000000 	 0.00000000000000115213 
88.000000 	 0.00000000000000077902 
89.000000 	 0.00000000000000052364 
90.000000 	 0.00000000000000035071 


DT = 18

	 h 	 Beta 
60.000000 	 0.00000000000516411786 
61.000000 	 0.00000000000397716815 
62.000000 	 0.00000000000305417196 
63.000000 	 0.00000000000233810403 
64.000000 	 0.00000000000178388285 
65.000000 	 0.00000000000135702317 
66.000000 	 0.00000000000102948672 
67.000000 	 0.00000000000077840219 
68.000000 	 0.00000000000058681997 
69.000000 	 0.00000000000044102047 
70.000000 	 0.00000000000033026068 
71.000000 	 0.00000000000024652023 
72.000000 	 0.00000000000018345388 
73.000000 	 0.00000000000013617607 
74.000000 	 0.00000000000010070471 
75.000000 	 0.00000000000007421794 
76.000000 	 0.00000000000005450222 
77.000000 	 0.00000000000003977490 
78.000000 	 0.00000000000002884673 
79.000000 	 0.00000000000002078391 
80.000000 	 0.00000000000001487119 
81.000000 	 0.00000000000001056418 
82.000000 	 0.00000000000000744970 
83.000000 	 0.00000000000000521243 
84.000000 	 0.00000000000000361978 
85.000000 	 0.00000000000000249655 
86.000000 	 0.00000000000000170895 
87.000000 	 0.00000000000000116276 
88.000000 	 0.00000000000000078623 
89.000000 	 0.00000000000000052849 
90.000000 	 0.00000000000000035395 


DT = 19

	 h 	 Beta 
60.000000 	 0.00000000000519881877 
61.000000 	 0.00000000000400411248 
62.000000 	 0.00000000000307503246 
63.000000 	 0.00000000000235420809 
64.000000 	 0.00000000000179627703 
65.000000 	 0.00000000000136653656 
66.000000 	 0.00000000000103677075 
67.000000 	 0.00000000000078396251 
68.000000 	 0.00000000000059105487 
69.000000 	 0.00000000000044423531 
70.000000 	 0.00000000000033269404 
71.000000 	 0.00000000000024835740 
72.000000 	 0.00000000000018483727 
73.000000 	 0.00000000000013721520 
74.000000 	 0.00000000000010148395 
75.000000 	 0.00000000000007480128 
76.000000 	 0.00000000000005493768 
77.000000 	 0.00000000000004009831 
78.000000 	 0.00000000000002908534 
79.000000 	 0.00000000000002095871 
80.000000 	 0.00000000000001499831 
81.000000 	 0.00000000000001065587 
82.000000 	 0.00000000000000751524 
83.000000 	 0.00000000000000525887 
84.000000 	 0.00000000000000365238 
85.000000 	 0.00000000000000251923 
86.000000 	 0.00000000000000172459 
87.000000 	 0.00000000000000117345 
88.000000 	 0.00000000000000079348 
89.000000 	 0.00000000000000053337 
90.000000 	 0.00000000000000035721 


DT = 20

	 h 	 Beta 
60.000000 	 0.00000000000523351334 
61.000000 	 0.00000000000403105565 
62.000000 	 0.00000000000309589493 
63.000000 	 0.00000000000237031594 
64.000000 	 0.00000000000180867589 
65.000000 	 0.00000000000137605493 
66.000000 	 0.00000000000104405966 
