

Element = 0



 DT = 0

h 	 Alfa
h 	 Alfa
6.000000e+001 	 1.926057e-013
6.100000e+001 	 1.933857e-013
6.200000e+001 	 1.941464e-013
6.300000e+001 	 1.949179e-013
6.400000e+001 	 1.957005e-013
6.500000e+001 	 1.964943e-013
6.600000e+001 	 1.972997e-013
6.700000e+001 	 1.981171e-013
6.800000e+001 	 1.989800e-013
6.900000e+001 	 1.998226e-013
7.000000e+001 	 2.007125e-013
7.100000e+001 	 2.016517e-013
7.200000e+001 	 2.026068e-013
7.300000e+001 	 2.035782e-013
7.400000e+001 	 2.047143e-013
7.500000e+001 	 2.059868e-013
7.600000e+001 	 2.073265e-013
7.700000e+001 	 2.087773e-013
7.800000e+001 	 2.102241e-013
7.900000e+001 	 2.116656e-013
8.000000e+001 	 2.131003e-013
8.100000e+001 	 2.144828e-013
8.200000e+001 	 2.157637e-013
8.300000e+001 	 2.169811e-013
8.400000e+001 	 2.180841e-013
8.500000e+001 	 2.190187e-013
8.600000e+001 	 2.198245e-013
8.700000e+001 	 2.204478e-013
8.800000e+001 	 2.208346e-013
8.900000e+001 	 2.210288e-013
9.000000e+001 	 2.209316e-013


 DT = 9

h 	 Alfa
6.000000e+001 	 1.923087e-013
6.100000e+001 	 1.930844e-013
6.200000e+001 	 1.938409e-013
6.300000e+001 	 1.946080e-013
6.400000e+001 	 1.953861e-013
6.500000e+001 	 1.961754e-013
6.600000e+001 	 1.969761e-013
6.700000e+001 	 1.977887e-013
6.800000e+001 	 1.986465e-013
6.900000e+001 	 1.994840e-013
7.000000e+001 	 2.003685e-013
7.100000e+001 	 2.013020e-013
7.200000e+001 	 2.022512e-013
7.300000e+001 	 2.032165e-013
7.400000e+001 	 2.043454e-013
7.500000e+001 	 2.056096e-013
7.600000e+001 	 2.069406e-013
7.700000e+001 	 2.083816e-013
7.800000e+001 	 2.098186e-013
7.900000e+001 	 2.112502e-013
8.000000e+001 	 2.126748e-013
8.100000e+001 	 2.140473e-013
8.200000e+001 	 2.153189e-013
8.300000e+001 	 2.165274e-013
8.400000e+001 	 2.176221e-013
8.500000e+001 	 2.185496e-013
8.600000e+001 	 2.193492e-013
8.700000e+001 	 2.199678e-013
8.800000e+001 	 2.203515e-013
8.900000e+001 	 2.205443e-013
9.000000e+001 	 2.204478e-013


 DT = 10

h 	 Alfa
6.000000e+001 	 1.920133e-013
6.100000e+001 	 1.927847e-013
6.200000e+001 	 1.935370e-013
6.300000e+001 	 1.942999e-013
6.400000e+001 	 1.950735e-013
6.500000e+001 	 1.958583e-013
6.600000e+001 	 1.966544e-013
6.700000e+001 	 1.974622e-013
6.800000e+001 	 1.983150e-013
6.900000e+001 	 1.991475e-013
7.000000e+001 	 2.000267e-013
7.100000e+001 	 2.009545e-013
7.200000e+001 	 2.018978e-013
7.300000e+001 	 2.028571e-013
7.400000e+001 	 2.039788e-013
7.500000e+001 	 2.052349e-013
7.600000e+001 	 2.065572e-013
7.700000e+001 	 2.079886e-013
7.800000e+001 	 2.094159e-013
7.900000e+001 	 2.108376e-013
8.000000e+001 	 2.122522e-013
8.100000e+001 	 2.136150e-013
8.200000e+001 	 2.148774e-013
8.300000e+001 	 2.160770e-013
8.400000e+001 	 2.171636e-013
8.500000e+001 	 2.180841e-013
8.600000e+001 	 2.188776e-013
8.700000e+001 	 2.194914e-013
8.800000e+001 	 2.198722e-013
8.900000e+001 	 2.200635e-013
9.000000e+001 	 2.199678e-013


 DT = 11

h 	 Alfa
6.000000e+001 	 1.917195e-013
6.100000e+001 	 1.924867e-013
6.200000e+001 	 1.932349e-013
6.300000e+001 	 1.939934e-013
6.400000e+001 	 1.947628e-013
6.500000e+001 	 1.955430e-013
6.600000e+001 	 1.963346e-013
6.700000e+001 	 1.971377e-013
6.800000e+001 	 1.979855e-013
6.900000e+001 	 1.988130e-013
7.000000e+001 	 1.996869e-013
7.100000e+001 	 2.006091e-013
7.200000e+001 	 2.015466e-013
7.300000e+001 	 2.024999e-013
7.400000e+001 	 2.036145e-013
7.500000e+001 	 2.048626e-013
7.600000e+001 	 2.061763e-013
7.700000e+001 	 2.075982e-013
7.800000e+001 	 2.090159e-013
7.900000e+001 	 2.104279e-013
8.000000e+001 	 2.118326e-013
8.100000e+001 	 2.131858e-013
8.200000e+001 	 2.144391e-013
8.300000e+001 	 2.156299e-013
8.400000e+001 	 2.167085e-013
8.500000e+001 	 2.176221e-013
8.600000e+001 	 2.184096e-013
8.700000e+001 	 2.190187e-013
8.800000e+001 	 2.193966e-013
8.900000e+001 	 2.195864e-013
9.000000e+001 	 2.194914e-013


 DT = 12

h 	 Alfa
6.000000e+001 	 1.914273e-013
6.100000e+001 	 1.921904e-013
6.200000e+001 	 1.929344e-013
6.300000e+001 	 1.936887e-013
6.400000e+001 	 1.944537e-013
6.500000e+001 	 1.952296e-013
6.600000e+001 	 1.960166e-013
6.700000e+001 	 1.968151e-013
6.800000e+001 	 1.976579e-013
6.900000e+001 	 1.984805e-013
7.000000e+001 	 1.993492e-013
7.100000e+001 	 2.002658e-013
7.200000e+001 	 2.011975e-013
7.300000e+001 	 2.021449e-013
7.400000e+001 	 2.032526e-013
7.500000e+001 	 2.044927e-013
7.600000e+001 	 2.057979e-013
7.700000e+001 	 2.072105e-013
7.800000e+001 	 2.086187e-013
7.900000e+001 	 2.100210e-013
8.000000e+001 	 2.114160e-013
8.100000e+001 	 2.127596e-013
8.200000e+001 	 2.140040e-013
8.300000e+001 	 2.151861e-013
8.400000e+001 	 2.162567e-013
8.500000e+001 	 2.171636e-013
8.600000e+001 	 2.179452e-013
8.700000e+001 	 2.185496e-013
8.800000e+001 	 2.189246e-013
8.900000e+001 	 2.191130e-013
9.000000e+001 	 2.190187e-013


 DT = 13

h 	 Alfa
6.000000e+001 	 1.911367e-013
6.100000e+001 	 1.918956e-013
6.200000e+001 	 1.926355e-013
6.300000e+001 	 1.933857e-013
6.400000e+001 	 1.941464e-013
6.500000e+001 	 1.949179e-013
6.600000e+001 	 1.957005e-013
6.700000e+001 	 1.964943e-013
6.800000e+001 	 1.973322e-013
6.900000e+001 	 1.981500e-013
7.000000e+001 	 1.990135e-013
7.100000e+001 	 1.999245e-013
7.200000e+001 	 2.008506e-013
7.300000e+001 	 2.017922e-013
7.400000e+001 	 2.028929e-013
7.500000e+001 	 2.041251e-013
7.600000e+001 	 2.054219e-013
7.700000e+001 	 2.068253e-013
7.800000e+001 	 2.082241e-013
7.900000e+001 	 2.096169e-013
8.000000e+001 	 2.110023e-013
8.100000e+001 	 2.123365e-013
8.200000e+001 	 2.135720e-013
8.300000e+001 	 2.147456e-013
8.400000e+001 	 2.158083e-013
8.500000e+001 	 2.167085e-013
8.600000e+001 	 2.174842e-013
8.700000e+001 	 2.180841e-013
8.800000e+001 	 2.184563e-013
8.900000e+001 	 2.186432e-013
9.000000e+001 	 2.185496e-013


 DT = 14

h 	 Alfa
6.000000e+001 	 1.908477e-013
6.100000e+001 	 1.916025e-013
6.200000e+001 	 1.923383e-013
6.300000e+001 	 1.930844e-013
6.400000e+001 	 1.938409e-013
6.500000e+001 	 1.946080e-013
6.600000e+001 	 1.953861e-013
6.700000e+001 	 1.961754e-013
6.800000e+001 	 1.970084e-013
6.900000e+001 	 1.978214e-013
7.000000e+001 	 1.986798e-013
7.100000e+001 	 1.995854e-013
7.200000e+001 	 2.005058e-013
7.300000e+001 	 2.014416e-013
7.400000e+001 	 2.025355e-013
7.500000e+001 	 2.037600e-013
7.600000e+001 	 2.050484e-013
7.700000e+001 	 2.064426e-013
7.800000e+001 	 2.078322e-013
7.900000e+001 	 2.092156e-013
8.000000e+001 	 2.105914e-013
8.100000e+001 	 2.119163e-013
8.200000e+001 	 2.131430e-013
8.300000e+001 	 2.143082e-013
8.400000e+001 	 2.153633e-013
8.500000e+001 	 2.162567e-013
8.600000e+001 	 2.170267e-013
8.700000e+001 	 2.176221e-013
8.800000e+001 	 2.179914e-013
8.900000e+001 	 2.181769e-013
9.000000e+001 	 2.180841e-013


 DT = 15

h 	 Alfa
6.000000e+001 	 1.905602e-013
6.100000e+001 	 1.913109e-013
6.200000e+001 	 1.920428e-013
6.300000e+001 	 1.927847e-013
6.400000e+001 	 1.935370e-013
6.500000e+001 	 1.942999e-013
6.600000e+001 	 1.950735e-013
6.700000e+001 	 1.958583e-013
6.800000e+001 	 1.966865e-013
6.900000e+001 	 1.974948e-013
7.000000e+001 	 1.983481e-013
7.100000e+001 	 1.992483e-013
7.200000e+001 	 2.001632e-013
7.300000e+001 	 2.010932e-013
7.400000e+001 	 2.021803e-013
7.500000e+001 	 2.033971e-013
7.600000e+001 	 2.046773e-013
7.700000e+001 	 2.060625e-013
7.800000e+001 	 2.074428e-013
7.900000e+001 	 2.088170e-013
8.000000e+001 	 2.101834e-013
8.100000e+001 	 2.114991e-013
8.200000e+001 	 2.127172e-013
8.300000e+001 	 2.138740e-013
8.400000e+001 	 2.149214e-013
8.500000e+001 	 2.158083e-013
8.600000e+001 	 2.165726e-013
8.700000e+001 	 2.171636e-013
8.800000e+001 	 2.175301e-013
8.900000e+001 	 2.177142e-013
9.000000e+001 	 2.176221e-013


 DT = 16

h 	 Alfa
6.000000e+001 	 1.902742e-013
6.100000e+001 	 1.910209e-013
6.200000e+001 	 1.917488e-013
6.300000e+001 	 1.924867e-013
6.400000e+001 	 1.932349e-013
6.500000e+001 	 1.939934e-013
6.600000e+001 	 1.947628e-013
6.700000e+001 	 1.955430e-013
6.800000e+001 	 1.963665e-013
6.900000e+001 	 1.971701e-013
7.000000e+001 	 1.980183e-013
7.100000e+001 	 1.989132e-013
7.200000e+001 	 1.998226e-013
7.300000e+001 	 2.007470e-013
7.400000e+001 	 2.018274e-013
7.500000e+001 	 2.030365e-013
7.600000e+001 	 2.043086e-013
7.700000e+001 	 2.056848e-013
7.800000e+001 	 2.070561e-013
7.900000e+001 	 2.084210e-013
8.000000e+001 	 2.097782e-013
8.100000e+001 	 2.110848e-013
8.200000e+001 	 2.122943e-013
8.300000e+001 	 2.134430e-013
8.400000e+001 	 2.144828e-013
8.500000e+001 	 2.153633e-013
8.600000e+001 	 2.161219e-013
8.700000e+001 	 2.167085e-013
8.800000e+001 	 2.170723e-013
8.900000e+001 	 2.172550e-013
9.000000e+001 	 2.171636e-013


 DT = 17

h 	 Alfa
6.000000e+001 	 1.899898e-013
6.100000e+001 	 1.907325e-013
6.200000e+001 	 1.914565e-013
6.300000e+001 	 1.921904e-013
6.400000e+001 	 1.929344e-013
6.500000e+001 	 1.936887e-013
6.600000e+001 	 1.944537e-013
6.700000e+001 	 1.952296e-013
6.800000e+001 	 1.960483e-013
6.900000e+001 	 1.968472e-013
7.000000e+001 	 1.976905e-013
7.100000e+001 	 1.985801e-013
7.200000e+001 	 1.994840e-013
7.300000e+001 	 2.004028e-013
7.400000e+001 	 2.014766e-013
